INDEX,YEAR,MN,HR,DT,SLP,MSLP,DBT,WBT,DPT,RH,VP,DD,FFF,AW,VV,Cl,A,Cm,A.1,Ch,A.2,Dl,Dm,Dh,TC,h,c,a,Ht,RF,EVP,DW,P,H,WAT,Rain,Season,Temp_Humidity,Pressure_Diff
42071,1998,4,84,21,976.7,1003.3,21.4,15.6,10.9,51.0,13.0,0,0.0,  ,96.0,0,0,0,0,0,0,0,0,0,0.0,9,0,900,0,0.0,99,0.0,   ,  , ,0,1,1091.3999999999999,26.59999999999991
42071,1991,9,24,5,979.1,1004.7,33.4,28.2,26.2,66.0,34.0,29,6.0,  ,95.0,0,0,0,0,0,0,0,0,0,0.0,9,0,900,0,0.0,99,0.0,   ,  , ,0,2,2204.4,25.600000000000023
42071,2014,4,60,4,984.4,1011.2,21.4,18.4,16.5,74.0,18.8,0,0.0,  ,96.0,0,0,0,0,0,0,0,0,0,0.0,9,0,900,0,0.0,99,0.0,   ,  , ,0,1,1583.6,26.800000000000068
42071,1986,4,84,15,983.3,1010.5,18.0,16.0,14.6,80.0,16.6,32,6.0,  ,96.0,0,0,0,0,2,2,0,0,9,2.0,9,0,902,0,2.0,70,0.0,   ,  , ,1,1,1440.0,27.200000000000045
42071,2015,5,60,8,975.8,1001.3,33.6,19.6,8.9,22.0,14.0,0,0.0,  ,95.0,4,2,0,0,0,0,9,0,0,2.0,6,6,662,6,2.0,40,0.0,   ,  , ,1,1,739.2,25.5
42071,2005,10,84,12,985.8,1012.9,20.0,18.2,17.1,83.0,19.5,5,10.0,  ,96.0,3,3,0,0,0,0,9,0,0,3.0,5,9,591,9,1.0,40,2.4,   ,  , ,1,3,1660.0,27.100000000000023
42071,2011,4,84,22,981.0,1008.0,18.4,15.4,13.1,71.0,15.1,0,0.0,  ,96.0,5,2,0,0,0,0,9,0,0,2.0,6,6,662,6,2.0,40,0.0,   ,  , ,1,1,1306.3999999999999,27.0
42071,1985,7,60,6,967.7,993.0,34.0,27.2,24.4,57.0,30.5,14,4.0,  ,96.0,5,1,3,3,0,0,9,9,0,4.0,6,6,661,6,1.0,40,0.0,   ,  , ,1,2,1938.0,25.299999999999955
42071,2005,6,24,7,975.2,1000.7,33.8,22.8,16.5,36.0,18.8,11,4.0,  ,96.0,0,0,0,0,2,2,0,0,9,2.0,9,0,902,0,2.0,70,0.0,   ,  , ,1,2,1216.8,25.5
42071,1982,8,12,14,975.5,1001.3,30.8,29.0,28.3,87.0,38.5,5,4.0,0,96.0,0,0,3,1,1,3,0,9,9,4.0,9,3,931,3,1.0,60,0.0,0,  , ,1,2,2679.6,25.799999999999955
42071,1986,8,84,2,976.6,1002.9,25.8,25.4,25.2,97.0,32.1,0,0.0,  ,96.0,0,0,3,3,0,0,0,9,0,3.0,9,3,933,3,3.0,60,0.0,   ,  , ,1,2,2502.6,26.299999999999955
42071,2000,1,84,26,991.6,1019.8,9.8,9.4,9.0,95.0,11.5,0,0.0,  ,93.0,5,2,3,3,0,0,9,9,0,5.0,5,6,562,6,2.0,40,0.0,   ,  , ,1,0,931.0000000000001,28.199999999999932
42071,1995,5,0,17,968.4,994.3,26.2,19.2,14.5,49.0,16.5,23,6.0,  ,96.0,0,0,3,2,0,0,0,9,0,2.0,9,3,932,3,2.0,60,0.0,   ,  , ,1,1,1283.8,25.899999999999977
42071,1979,12,60,26,990.5,1018.4,12.0,11.0,10.1,88.0,12.3,29,8.0,  ,96.0,0,0,0,0,0,0,0,0,0,0.0,9,0,900,0,0.0,99,0.0,   ,  , ,0,0,1056.0,27.899999999999977
42071,2007,12,24,27,991.6,1019.3,14.4,11.0,7.5,63.0,10.4,27,6.0,  ,95.0,0,0,0,0,0,0,0,0,0,0.0,9,0,900,0,0.0,99,0.0,   ,  , ,0,0,907.2,27.699999999999932
42071,1975,3,48,25,986.1,1012.7,24.4,17.4,12.2,46.0,14.2,29,18.0,  ,97.0,0,0,0,0,1,2,0,0,9,2.0,9,0,902,0,2.0,70,0.0,20,  , ,1,1,1122.3999999999999,26.600000000000023
